X,Y,OBJECTID,ID,TYP,ART,STANDORTTYP,BEZEICHNUNG,BEZEICHNUNGZUSATZ,KURZBEZEICHNUNG,STRASSE,PLZ,ORT,TELEFON,FAX,EMAIL,PROFILE,SPRACHEN,WWW,TRAEGER,TRAEGERTYP,BEZUGNR,GEBIETSARTNUMMER,SNUMMER,NUMMER,GlobalID,CreationDate,Creator,EditDate,Editor
12.8872762658422,50.7922749102438,1,1,10,Grundschule,1,Albert-Einstein-Grundschule,,Albert-Einstein-GS,Max-Türpe-Straße 58,09122,Chemnitz,0371 271710,0371 2717119,gs-albert-einstein@schulen-chemnitz.de,"GTA, Hort",,www.c.shuttle.de/a-einstein-gs,Kommunal,10,1,40,101,903,73d96808-1583-4e02-bf98-29c5c5ecaf49,2023/12/15 10:19:55.478+00,GISAdminChemnitz,2023/12/15 10:19:55.478+00,GISAdminChemnitz
12.9218298722116,50.8280539252831,2,2,10,Grundschule,1,Annenschule -Grundschule-,"barrierefreier Zugang, Hort: baubedingte Auslagerung an den Standort Jakobstraße 20, 09130 Chemnitz, bis voraussichtlich Schuljahr 2024/2025",Annenschule -GS-,Brauhausstraße 16,09111,Chemnitz,0371 36913120,0371 36913129,gs-annenschule@schulen-chemnitz.de,"GTA, Hort, jüdischer Religionsunterricht, Vorbereitungsklassen",,www.annenschule.de,Kommunal,10,2,40,105,601,4c92a00f-080b-4d40-beea-3b43723cb171,2023/12/15 10:19:55.493+00,GISAdminChemnitz,2023/12/15 10:19:55.493+00,GISAdminChemnitz
12.9629177798337,50.8319919787425,3,3,10,Grundschule,1,Anton-S.-Makarenko-Grundschule,barrierefreies Schulhaus,Anton-S.-Makarenko-GS,Ernst-Moritz-Arndt-Straße 4,09130,Chemnitz,0371 722139,0371 70089926,gs-makarenko@schulen-chemnitz.de,"GTA, Hort, Vorbereitungsklassen",,www.makarenko-gs.de,Kommunal,10,3,40,106,505,91d2472b-4b6c-49e3-9055-53a27179f395,2023/12/15 10:19:55.509+00,GISAdminChemnitz,2023/12/15 10:19:55.509+00,GISAdminChemnitz
12.7857570982484,50.8134154980481,4,4,10,Grundschule,1,Baumgartenschule Grüna -Grundschule-,barrierefreies Schulhaus,Baumgartenschule Grüna -GS-,August-Bebel-Straße (Grüna) 7,09224,Chemnitz,0371 850089,0371 8101657,gs-baumgarten-gruena@schulen-chemnitz.de,"Hort, Vorbereitungsklassen",,https://schuldatenbank.sachsen.de/index.php?id=100&institution_key=4211272,Kommunal,10,4,40,107,1204,1a4f5d6f-a1fb-4d34-b588-a97784c8e92c,2023/12/15 10:19:55.509+00,GISAdminChemnitz,2023/12/15 10:19:55.509+00,GISAdminChemnitz
12.9019557001839,50.7840835945015,5,5,10,Grundschule,1,Charles-Darwin-Grundschule,,Charles-Darwin-GS,Alfred-Neubert-Straße 25,09123,Chemnitz,0371 266020,0371 2660220,gs-darwin@schulen-chemnitz.de,"GTA, Hort, Vorbereitungsklassen",,www.charles-darwin.c.sn.schule.de/,Kommunal,10,5,40,108,901,e4f62fad-ea21-4a4c-bd8a-ace56bcedcd2,2023/12/15 10:19:55.525+00,GISAdminChemnitz,2023/12/15 10:19:55.525+00,GISAdminChemnitz
12.8850807101631,50.805262135884,6,6,10,Grundschule,1,Dr.-Salvador-Allende-Grundschule,,Dr.-Salvador-Allende-GS,Straße Usti nad Labem 279,09119,Chemnitz,0371 271210,0371 27121220,gs-allende@schulen-chemnitz.de,"GTA, Hort, Stützpunktschule zur Integration von Schülern mit Sprachauffälligkeiten, Inklusion",,www.allende-gs.de,Kommunal,10,6,40,109,1102,4ba24609-dba2-47a9-9b63-a37ec81a8712,2023/12/15 10:19:55.525+00,GISAdminChemnitz,2023/12/15 10:19:55.525+00,GISAdminChemnitz
12.8823574393427,50.8399911254795,7,8,10,Grundschule,1,Emanuel-Gottlieb-Flemming-Grundschule,barrierefreies Schulhaus,Emanuel-Gottlieb-Flemming-GS,Albert-Schweitzer-Straße 61,09116,Chemnitz,0371 300686,0371 901081,gs-flemming@schulen-chemnitz.de,"GTA, Hort",,www.flemming-grundschule.de,Kommunal,10,8,40,111,201,e2fbeb5e-943d-4b79-8c17-a54e5896e664,2023/12/15 10:19:55.540+00,GISAdminChemnitz,2023/12/15 10:19:55.540+00,GISAdminChemnitz
12.9080500786032,50.8292552027294,8,9,10,Grundschule,1,Gebrüder-Grimm-Grundschule,barrierefreier Zugang  ,Gebrüder-Grimm-GS,Heinrich-Beck-Straße 2,09112,Chemnitz,0371 302956,0371 4004719,gs-gebrueder-grimm@schulen-chemnitz.de,"Hort, Vorbereitungsklassen; Projekt für musisch-kreative Bildung",,www.gggs.de,Kommunal,10,9,40,113,204,f67aea54-78cc-4330-971b-b6762cf855bb,2023/12/15 10:19:55.540+00,GISAdminChemnitz,2023/12/15 10:19:55.540+00,GISAdminChemnitz
12.9397707592911,50.841262725248,9,10,10,Grundschule,1,Gotthold-Ephraim-Lessing-Grundschule,barrierefreies Schulhaus,Gotthold-Ephraim-Lessing-GS,Reinhardtstraße 6,09130,Chemnitz,0371 432660,0371 43266220,gs-lessing@schulen-chemnitz.de,"Hort, Stützpunktschule zur Integration von Schülern mit Sprachauffälligkeiten",,,Kommunal,10,10,40,114,501,8a9f16dc-e20c-4f04-9936-9a2664ef9eef,2023/12/15 10:19:55.556+00,GISAdminChemnitz,2023/12/15 10:19:55.556+00,GISAdminChemnitz
12.895297700598,50.8044957626574,10,11,10,Grundschule,1,"Grundschule ""Am Stadtpark""",,"GS ""Am Stadtpark""",Friedrich-Hähnel-Straße 86,09120,Chemnitz,0371 229027,0371 2361736,gs-amstadtpark@schulen-chemnitz.de,Hort,,http://gs-amstadtpark.de/,Kommunal,10,11,40,115,1101,fc28e969-19c6-491a-945e-e8670b5f3be5,2023/12/15 10:19:55.556+00,GISAdminChemnitz,2023/12/15 10:19:55.556+00,GISAdminChemnitz
