X,Y,OBJECTID,ID,TRAEGER,BEZEICHNUNG,KURZBEZEICHNUNG,STRASSE,STRSCHL,HAUSBEZ,PLZ,ORT,HORT,KITA,URL,TELEFON,FAX,EMAIL,BARRIEREFREI,INTEGRATIV
12.8843699240534,50.8068085244813,1,15,KINDERVEREINIGUNG Chemnitz e. V.,"Straße Usti nad Labem 197 ""FRIDOLIN""","Straße Usti nad Labem 197 ""FRIDOLIN""",Straße Usti nad Labem,9300,197,09119,Chemnitz,0,1,,0371 52455487,,fridolin@kindervereinigung-chemnitz.de,0,1
12.909709819865,50.8205584525106,2,16,Privater Träger,"Parkstraße 13 ""Zappelkiste-Kleine Menschen ganz groß"", Kindertagespflege","Parkstraße 13 ""Zappelkiste-Kleine Menschen ganz groß"", Kindertagespflege",Parkstraße,9265,13,09120,Chemnitz,0,1,,0163 8323511,,dani@immoss.de,0,0
12.9625693644843,50.8310511815738,3,17,Privater Träger,"Clausewitzstraße 6 ""Zwergenland"", Kindertagespflege","Clausewitzstraße 6 ""Zwergenland"", Kindertagespflege",Clausewitzstraße,5195,6,09130,Chemnitz,0,1,,0178 3410698,,heike.bruehl1@freenet.de,0,0
12.9401380561746,50.761791635871,4,18,Privater Träger,"Berbisdorfer Straße 151 ""Connys Zwergengarten"", Kindertagespflege","Berbisdorfer Straße 151 ""Connys Zwergengarten"", Kindertagespflege",Berbisdorfer Straße,7139,151,09123,Chemnitz,0,1,https://www.connyszwergengarten.de,0173 1984077,,cornelia.krake@web.de,0,0
12.9193998357456,50.8369783971097,5,19,Privater Träger,"Brückenstraße 21 ""Villa Marienkäfer"", Kindertagespflege","Brückenstraße 21 ""Villa Marienkäfer"", Kindertagespflege",Brückenstraße,1165,21,09111,Chemnitz,0,1,,0162 6792154,,v.marienkaefer@gmail.com,0,0
12.8878830195429,50.7917184717951,6,20,Stadt Chemnitz,"Albert-Köhler-Straße 91, Hort A.-Einstein-GS","Albert-Köhler-Straße 91, Hort A.-Einstein-GS",Albert-Köhler-Straße,8100,91,09122,Chemnitz,1,0,,0371 227044,,kita-koehlerstr@stadt-chemnitz.de,0,1
12.9616573951099,50.8261282756165,7,21,Privater Träger,"Arthur-Strobel-Straße 27 ""Die bunten Knöpfchen"", Kindertagespflege","Arthur-Strobel-Straße 27 ""Die bunten Knöpfchen"", Kindertagespflege",Arthur-Strobel-Straße,5155,27,09127,Chemnitz,0,1,,0152 06551563,,eger99@arcor.de,0,0
12.839152078457,50.8163106179718,8,22,Privater Träger,"Nevoigtstraße 5 ""Fichtenwichtel"", Kindertagespflege","Nevoigtstraße 5 ""Fichtenwichtel"", Kindertagespflege",Nevoigtstraße,11490,5,09117,Chemnitz,0,1,,0171 7971903,,mikedinter@freenet.de,0,0
12.8840199234969,50.8061885306819,9,23,Privater Träger,"Straße Usti nad Labem 211 ""Susi's kleine Bienchen"", Kindertagespflege","Straße Usti nad Labem 211 ""Susi's kleine Bienchen"", Kindertagespflege",Straße Usti nad Labem,9300,211,09119,Chemnitz,0,1,,0152 54106625,,susiskleinebienchen@hotmail.com,0,0
12.8982606525492,50.7893195521866,10,24,Stadt Chemnitz,Max-Müller-Straße 11,Max-Müller-Straße 11,Max-Müller-Straße,8220,11,09123,Chemnitz,0,1,,0371 49529900,,kita-maxmuellerstr@stadt-chemnitz.de,1,1
12.970579329706,50.8240982955279,11,25,Privater Träger,"Carl-von-Ossietzky-Straße 248 ""Schneeflöckchen"", Kindertagespflege","Carl-von-Ossietzky-Straße 248 ""Schneeflöckchen"", Kindertagespflege",Carl-von-Ossietzky-Straß,24110,248,09126,Chemnitz,0,1,,0174 9813765,,m-kahl@freenet.de,0,0
12.932002687133,50.8486333511858,12,26,Privater Träger,"Straße der Nationen 91 ""Mäusestübchen"", Kindertagespflege","Straße der Nationen 91 ""Mäusestübchen"", Kindertagespflege",Straße der Nationen,1570,91,09113,Chemnitz,0,1,,0152 09421404,,Maeusestuebchen@freenet.de,0,0
12.8985796656068,50.7832985931103,13,27,Stadt Chemnitz,"Alfred-Neubert-Straße 55, Hort Charles-Darwin-GS","Alfred-Neubert-Straße 55, Hort Charles-Darwin-GS",Alfred-Neubert-Straße,8105,55,09123,Chemnitz,1,0,,0371 4958400,,kita-neubertstr@stadt-chemnitz.de,0,1
12.9344095786926,50.8253783735082,14,28,Privater Träger,"Lutherstraße 18 ""mezzopiano"", Kindertagespflege mit musikalischem Profil","Lutherstraße 18 ""mezzopiano"", Kindertagespflege mit musikalischem Profil",Lutherstraße,24135,18,09126,Chemnitz,0,1,,0163 7255026,,musikkita@web.de,0,0
12.8248500470434,50.8233985554808,15,43,DRK Gemeinnützige Krankenhaus GmbH Sachsen,"Riedbachweg 2 ""Herbies Rabenburg""","Riedbachweg 2 ""Herbies Rabenburg""",Riedbachweg,12281,2,09117,Chemnitz,0,1,https://www.drk-khs.de,0371 80813915,,herbies.rabenburg@drk-khs.de,1,1
12.8253548259057,50.8124661395574,16,44,Stadtmission Chemnitz e. V.,"Hohensteiner Straße 14 ""Evangelischer Kindergarten am Wiesenbach""","Hohensteiner Straße 14 ""Evangelischer Kindergarten am Wiesenbach""",Hohensteiner Straße,11370,14,09117,Chemnitz,0,1,https://www.stadtmission-chemnitz.de/evangelischer-kindergarten-am-wiesenbach,0371 26226373,,kita-amwiesenbach@stadtmission-chemnitz.de,1,1
12.9654993346016,50.8332981499053,17,45,Stadt Chemnitz,Fürstenstraße 263/265,Fürstenstraße 263/265,Fürstenstraße,24115,263,09130,Chemnitz,0,1,,0371 85796675,,kita-fuerstenstr@stadt-chemnitz.de,0,1
12.8869700626166,50.8305585633887,18,46,SFZ Förderzentrum gGmbH,"Zinzendorfstraße 31 ""Kaßberg-Spechte""","Zinzendorfstraße 31 ""Kaßberg-Spechte""",Zinzendorfstraße,10520,31,09116,Chemnitz,0,1,http://www.SFZ-CHEMNITZ.de,0371 33560990,,cpetzold@sfz-chemnitz.de,1,1
12.9458175291908,50.8432232907575,19,47,"Kinder-, Jugend- u. Familienhilfe e. V. Chemnitz","Forststraße 26-30 Naturkinderhaus ""Esche""","Forststraße 26-30 Naturkinderhaus ""Esche""",Forststraße,23100,26-30,09130,Chemnitz,0,1,http://www.kjf-online.de,0371 49502390,,kita-eschestift@kjf-online.de,1,1
12.9112297688237,50.8715082428779,20,48,Privater Träger,"Dorfstraße 10 ""Tagesmutter Bille"", Kindertagespflege","Dorfstraße 10 ""Tagesmutter Bille"", Kindertagespflege",Dorfstraße,2190,10,09114,Chemnitz,0,1,,0173 4538057,,sybille@karl-marx-stadt.org,0,0
12.8791500634206,50.8292485744687,21,49,Stadt Chemnitz,Am Heim 15a,Am Heim 15a,Am Heim,10130,15a,09116,Chemnitz,0,1,,0371 66618337,,kita-amheim@stadt-chemnitz.de,1,1
12.9368895553286,50.8240683779757,22,50,Privater Träger,"Blücherstraße 10 ""Regenbogen"", Kindertagespflege","Blücherstraße 10 ""Regenbogen"", Kindertagespflege",Blücherstraße,4130,10,09126,Chemnitz,0,1,,0162 3236558,,annettgraderwitter@gmx.de,0,0
12.8864052872766,50.8622442868067,23,51,Stadt Chemnitz,"Brauhausstraße 16, Hort der Kooperationsschule Chemnitz","Brauhausstraße 16, Hort der Kooperationsschule Chemnitz",Wittgensdorfer Straße,13260,121,09114,Chemnitz,1,0,,0371 278688751,,kita-koopschule@stadt-chemnitz.de,0,1
12.9175795209652,50.839722712387,24,52,Stadt Chemnitz,"Schloßstraße 16 ""Bildungsinsel""","Schloßstraße 16 ""Bildungsinsel""",Schloßstraße,1550,16,09111,Chemnitz,0,1,,0371 24359427,,kita-schlossstr16@stadt-chemnitz.de,1,1
12.939885060951,50.8162983336974,25,53,"Kinder-, Jugend- u. Familienhilfe e. V. Chemnitz",Bernsdorfer Straße 120,Bernsdorfer Straße 120,Bernsdorfer Straße,21125,120,09126,Chemnitz,0,1,,0371 49502306,,Kita-B120@kjf-online.de,0,1
12.9366294826164,50.8322962549284,26,54,Stadt Chemnitz,"Jakobstraße 20, Hort der Annen-GS","Jakobstraße 20, Hort der Annen-GS",Jakobstraße,4235,20,09130,Chemnitz,1,0,,0371 267585250,,kita-jakobstr@stadt-chemnitz.de,1,1
12.9073581814611,50.8326224759368,27,55,Stadt Chemnitz,"Weststraße 19, Hort GS-Weststraße","Weststraße 19, Hort GS-Weststraße",Weststraße,21195,19,09112,Chemnitz,1,0,,0371 267469250,,kita-weststrGS@stadt-chemnitz.de,0,1
12.9625693644843,50.8310511815738,28,56,Privater Träger,"Clausewitzstraße 6 ""Abenteuerland"", Kindertagespflege","Clausewitzstraße 6 ""Abenteuerland"", Kindertagespflege",Clausewitzstraße,5195,6,09130,Chemnitz,0,1,,0175 6431895,,Sophia.bruehl@freenet.de,0,0
12.8942128969262,50.8127634464818,29,57,solaris Förderzentrum für Jugend und Umwelt gGmbH ,"Irkutsker Straße 15, Hort Valentina-Tereschkowa-GS, ""Kinderhort Kappelino""","Irkutsker Straße 15, Hort Valentina-Tereschkowa-GS, ""Kinderhort Kappelino""",Irkutsker Straße,9205,15,09119,Chemnitz,1,0,http://www.solaris-fzu.de,0176 16855052,,hort-kappelino@solaris-fzu.de,0,0
12.9057459213984,50.8355914982523,30,58,Stadt Chemnitz,"Henriettenstraße 21 ""Kinderhaus Pusteblume""","Henriettenstraße 21 ""Kinderhaus Pusteblume""",Henriettenstraße,21155,21,09112,Chemnitz,0,1,,0371 300571,,kita-henriettenstr@stadt-chemnitz.de,0,1
12.9097298667156,50.8243304360093,31,59,Stadt Chemnitz,"Katharinenstraße 1 ""Farbenfroh""","Katharinenstraße 1 ""Farbenfroh""",Katharinenstraße,9220,1,09119,Chemnitz,0,1,,0371 362270,,kita-katharinenstr@stadt-chemnitz.de,1,1
12.9530894728976,50.8417082004254,32,60,ADMEDINO gGmbH,"Planitzwiese 29 ""ADMEDINO""","Planitzwiese 29 ""ADMEDINO""",Planitzwiese,4362,29,09130,Chemnitz,0,1,http://www.admedino.de,0371 6664787,,andrea.regber@admedia-reha.de,1,1
12.9302096047528,50.8277733756842,33,61,Stadtmission Chemnitz e. V.,"Rembrandtstraße 13c ""Regenbogen""","Rembrandtstraße 13c ""Regenbogen""",Rembrandtstraße,1505,13c,09111,Chemnitz,0,1,https://www.stadtmission-chemnitz.de/rat-angebote/angebote-fuer-kinder-jugendliche-und-familien/angebote-fuer-kinder/evangelische-kindergaerten/evangelischer-kindergarten-regenbogen,0371 6004861,,kita@stadtmission-chemnitz.de,1,1
12.9248627275799,50.8304335098564,34,62,Stadt Chemnitz,"Wiesenstraße 1 ""Stupsnasen""","Wiesenstraße 1 ""Stupsnasen""",Wiesenstraße,1625,1,09111,Chemnitz,0,1,,0371 6761423,,kita-wiesenstr@stadt-chemnitz.de,0,1
12.8977796665415,50.7831985976721,35,63,Stadt Chemnitz,"Alfred-Neubert-Straße 57, Haus ""Kinderlachen""","Alfred-Neubert-Straße 57, Haus ""Kinderlachen""",Alfred-Neubert-Straße,8105,57,09123,Chemnitz,0,1,,0371 242534,,kita-neubertstr@stadt-chemnitz.de,0,1
12.9027749352388,50.8416175260943,36,64,Stadt Chemnitz,"Fritz-Matschke-Straße 23, Hort Obere Luisen-GS ""Luisenhort""","Fritz-Matschke-Straße 23, Hort Obere Luisen-GS ""Luisenhort""",Fritz-Matschke-Straße,10255,23,09113,Chemnitz,1,0,,0371 3380116,,kita-matschkestr@stadt-chemnitz.de,0,0
12.9248947451167,50.8434103457776,37,65,Stadt Chemnitz,"Brühl 59, Hort R.-Luxemburg-GS am Brühl","Brühl 59, Hort R.-Luxemburg-GS am Brühl",Brühl,1170,59,09111,Chemnitz,1,0,,0371 4445552,,kita-luxemburgGS@stadt-chemnitz.de,0,0
12.9126388249835,50.823925451318,38,66,Stadt Chemnitz,"Stollberger Straße 25 ""Chemnitzer Schulmodell""","Stollberger Straße 25 ""Chemnitzer Schulmodell""",Stollberger Straße,21185,25,09119,Chemnitz,1,0,,0371 3346487,,kita-schulmodell@stadt-chemnitz.de,1,1
